Affiliated entity,Affiliated entity ID,Number of facilities,Number of states and territories with operations,Number of Special Focus Facilities (SFF),Number of SFF candidates,Number of facilities with an abuse icon,Percentage of facilities with an abuse icon,Percent of facilities classified as for-profit,Percent of facilities classified as non-profit,Percent of facilities classified as government-owned,Average overall 5-star rating,Average health inspection rating,Average staffing rating,Average quality rating,Average total nurse hours per resident day,Average total weekend nurse hours per resident day,Average total Registered Nurse hours per resident day,Average total nursing staff turnover percentage,Average Registered Nurse turnover percentage,Average number of administrators who have left the nursing home,Total number of fines,Average number of fines,Total amount of fines in dollars,Average amount of fines in dollars,Total number of payment denials,Average number of payment denials,Average percentage of short-stay residents who were re-hospitalized after a nursing home admission,Average percentage of short-stay residents who have had an outpatient emergency department visit,Average percentage of short-stay residents who newly received an antipsychotic medication,Average percentage of short-stay residents with pressure ulcers or pressure injuries that are new or worsened,Average percentage of short-stay residents who are at or above an expected ability to care for themselves and move around at discharge,Average percentage of short-stay residents who were assessed and appropriately given the seasonal influenza vaccine,Average percentage of short-stay residents who were assessed and appropriately given the  pneumococcal vaccine,"Average number of hospitalizations per 1,000 long-stay resident days","Average number of outpatient emergency department visits per 1,000 long-stay resident days",Average percentage of long-stay residents who received an antipsychotic medication,Average percentage of long-stay residents experiencing one or more falls with major injury,Average percentage of long-stay residents with pressure ulcers,Average percentage of long-stay residents with a urinary tract infection,Average percentage of long-stay residents who have or had a catheter inserted and left in their bladder,Average percentage of long-stay residents whose ability to move independently worsened,Average percentage of long-stay residents whose need for help with activities of daily living has increased,Average percentage of long-stay residents who were assessed and appropriately given the seasonal influenza vaccine,Average percentage of long-stay residents who were assessed and appropriately given the  pneumococcal vaccine,Average percentage of long-stay residents who were physically restrained,Average percentage of long-stay residents with new or worsened bowel or bladder incontinence,Average percentage of long-stay residents who lose too much weight,Average percentage of long-stay residents who have symptoms of depression,Average percentage of long-stay residents who used antianxiety or hypnotic medication,Average rate of potentially preventable hospital readmissions 30 days after discharge from a SNF,Average percentage of current residents up to date with COVID-19 vaccines,Average percentage of healthcare personnel up to date with COVID-19 vaccines
ATRIUM HEALTH,55,6,1,0,0,0,0,0,100,0,3.8,3.5,3.8,3.7,4.7,4,1.3,38,27.7,0,2,0.3,17054.25,2842.38,0,0,20,9.4,0.9,5.5,47.9,76.1,75.1,1.74,2.15,7.6,1,8.2,2.8,1.5,33.3,21.8,90.9,69.3,0,27.7,7.1,1.6,20.6,10.6,33.3,1.5
AUTUMN LAKE HEALTHCARE,56,53,5,0,1,4,7.5,98.1,1.9,0,2.3,2.3,2.3,3.3,3.6,3.3,0.5,45.4,45.1,0.6,20,0.4,907479.55,17122.26,4,0.1,25.5,11.1,1.3,2.6,49.3,86.3,89.8,1.6,1.42,12.7,1.8,6.2,0.9,0.5,33.1,26.9,98.2,98.1,0,25.9,6.8,18.6,14.5,11.6,43.9,15.7
AVALON HEALTH CARE,57,14,6,0,0,3,21.4,92.9,0,7.1,3.2,2.9,4,3.7,4.6,4.1,1,47,44.4,0.3,11,0.8,237877.25,16991.23,1,0.1,21.4,14.9,0.8,0.9,50,91.9,91.3,1.31,1.4,10.4,3.7,4.5,2,0.5,24.8,15.5,98.2,98.5,0,22.9,5.2,9.2,17.4,10,48.1,11.6
AVAMERE,58,33,2,0,0,4,12.1,100,0,0,2.9,2.6,3.4,3.6,4.6,4.1,0.6,44.4,55.2,1.1,51,1.5,1958479.39,59347.86,5,0.2,21.4,16.1,1.4,1.8,53,84.1,91.3,1.43,1.56,13.2,2.6,6.7,2.1,1.8,26.9,17.1,95.3,97.1,0,21.5,5.1,13,11.2,9.4,37.5,9.5
AVANTE CENTERS,59,11,1,0,0,0,0,90.9,9.1,0,2.9,2.7,2.3,3.6,3.5,3.3,0.5,48.8,45,1.9,4,0.4,87730.5,7975.5,1,0.1,28.4,10.7,1,2.5,44.5,96,89.3,2.12,1.06,3.8,2.6,7.2,0.1,0.2,12.1,9,100,95.6,0,17.5,6.2,2.1,11.3,11.1,21,37.8
AVENTURA HEALTH GROUP,60,12,3,1,1,3,25,100,0,0,1.9,1.6,2.5,4,3.5,3.2,0.5,61.8,64,1,19,1.6,1476301.28,123025.11,8,0.7,26.7,12,1.8,2.7,55.4,57.8,63.9,1.76,1.58,14,2.5,5.7,1,0.8,13.3,11,90.7,84,0.1,23.6,6.7,8.9,20.9,10.3,28.6,2.4
AVERA HEALTH,61,10,3,0,0,0,0,0,100,0,3.9,3.1,4.8,3.3,4.3,3.7,1.1,38,21.4,0.4,5,0.5,61207.25,6120.73,2,0.2,18.4,15.2,1.3,3.9,69.4,91.6,94.5,1.18,1.77,12.5,4.5,4.5,1.5,4.5,26.4,22.3,99.3,99.9,0,23.3,4.4,2,14.7,10,59.7,2.5
AVID HEALTHCARE GROUP,700,11,1,1,0,0,0,100,0,0,1.1,1.6,1,2.1,3.5,3.1,0.5,76.7,67.4,0.7,14,1.3,355291.24,32299.2,9,0.8,24.3,13.5,2,2.7,49.4,71.8,79.8,2.19,1.95,23.2,2.9,5,1.2,1.9,31.5,23.5,95.8,92.9,0.5,26.8,7.4,12.3,21.7,10.4,46.1,3.2
AVIR HEALTH GROUP,719,18,1,1,1,2,11.1,100,0,0,2,2,1.1,4.5,3.1,2.8,0.3,62.4,57.3,0.8,49,2.7,1585014.37,88056.35,3,0.2,24.8,16,0.9,1.4,57,92.2,96.8,1.99,2.14,4.5,2.4,3.8,0.1,0.4,9.4,13.4,96.2,98.8,0,8.5,2.3,3.2,29.7,11.8,41.7,1.3
AYDEN HEALTHCARE,63,11,1,0,0,0,0,100,0,0,2.1,1.8,1.6,4.5,3.4,3,0.4,55.3,47.4,0.7,24,2.2,409900.4,37263.67,2,0.2,24,18.3,0.4,1.6,45.6,60.8,67.6,1.52,2.43,7,2.5,4.3,0.2,0.2,9.2,5.6,86.8,92.1,0,23.7,5.4,26.4,24.9,10.8,32.8,5.9
AZRIA HEALTH,64,9,2,0,0,0,0,100,0,0,2.1,2.2,2.8,1.9,3.9,3.4,0.5,54.2,53.6,0.4,7,0.8,106720.35,11857.82,5,0.6,27.2,19.5,1.8,2.9,54.5,61.1,73.8,1.94,2.83,17.3,4,5.2,2.7,2.9,29.9,23.6,93.3,86.2,0.2,28,3.9,4.7,19.9,10.2,45,2.9
BALL HEALTHCARE SERVICES,66,10,1,0,0,1,10,100,0,0,2.2,2.4,2.8,2,3.3,2.8,0.6,41.1,37.1,0.1,1,0.1,9317.75,931.78,0,0,25.3,13.8,3.1,4.7,49.4,66.9,68.2,2.14,1.94,17.8,2,7.4,4.8,3.1,25.5,20,91.8,80.1,0.6,10.2,4.9,0.4,17.2,9.6,38.5,2.1
BALLAD HEALTH,67,4,2,0,0,0,0,0,75,25,3.5,3.3,4.5,3.5,5.3,4.3,1.5,35.9,21.6,0,1,0.3,9769.5,2442.38,1,0.3,28,13,0.9,1.1,63.8,83.4,79.6,1.49,1.36,21.4,1.5,4.5,5.8,2.8,42.4,22.9,98.8,98.1,3,25,3.4,3.9,23.6,10.7,43.3,4.1
BANECARE MANAGEMENT,68,9,1,0,0,0,0,100,0,0,3.3,3.2,2.2,3.3,3.8,3.4,0.6,,,1.1,8,0.9,378621.75,42069.08,0,0,27.8,10.4,1.3,2.5,49.3,79.8,76.5,1.39,1.07,19,3.9,4,1.9,1.1,27.4,22.9,96.6,92.5,0,24.8,4.9,2.5,16.4,10.4,62.8,25.1
BAYSHIRE SENIOR COMMUNITIES,682,10,1,0,0,0,0,100,0,0,2.3,2.4,1.8,3.8,4.3,4,0.5,51,46.7,0.7,67,6.7,594984.85,59498.49,3,0.3,25.1,12.1,1.1,1.9,47,94.4,98.7,1.76,2.39,9.4,2.6,4,0.4,0.6,22,14.6,99.4,99.3,0,9.8,4.1,12.6,16.2,12.7,28.1,9.8
BEACON HEALTH MANAGEMENT,69,22,2,1,0,2,9.1,100,0,0,1.1,1.7,1.2,2.1,2.9,2.7,0.4,57,74.8,1.4,91,4.1,1587150.83,72143.22,16,0.7,23.5,16.7,3.7,5.4,51.1,72.7,59.9,2.02,2.51,33.1,2.8,6.1,1.9,1.8,26.2,20.4,94.9,84.7,0.1,20.8,7.5,6.9,28.4,10.3,44.9,17.8
BEAR MOUNTAIN HEALTHCARE,70,13,2,0,1,0,0,100,0,0,2,2.1,2.5,2.7,3.6,3.2,0.5,41.7,44.5,1.1,21,1.6,781809.07,60139.16,3,0.2,31.3,11.9,2.1,2,51.6,82.6,76,1.98,1.38,20.2,3.1,7.2,1.3,0.9,21,18.5,94.3,91.1,0.2,17,5.7,4.2,20.3,10.9,67.9,20.3
BEDFORD CARE CENTERS,71,7,1,0,0,0,0,100,0,0,2.3,2.6,3.6,1.4,4.3,3.8,0.6,54.8,60.8,0,11,1.6,361301.37,51614.48,3,0.4,38.5,17.1,1.8,3.7,49.3,87,96.4,3.23,3.66,21.1,2.7,7.2,2.6,2.5,36.6,25.6,93,98.9,0.9,24.6,9.8,8.8,27.8,11.6,54.7,2.2
BEDROCK CARE,72,24,2,0,0,5,20.8,100,0,0,1.8,1.7,2.7,3,3.4,3.1,0.5,52.7,48.3,0.8,88,3.7,2246026.59,93584.44,7,0.3,25.2,13.2,1.6,2.4,51.6,70.2,67.2,1.99,1.46,14.6,2.6,6,1.5,1.1,19.4,16.3,94.2,84.4,0,23,7.6,1.7,18,10.6,37.5,7.2
BEDROCK HEALTHCARE,73,10,4,1,3,4,40,100,0,0,1.1,1.2,2,2.4,3.4,3,0.5,60,60.2,1.2,31,3.1,1707759.2,170775.92,17,1.7,28.2,13.4,1.6,4.5,49.6,70.7,81.1,1.87,2.47,16.4,2.6,8,2.7,3.4,25.6,16.7,78.2,90.7,0.2,27,6,3,20.1,11.2,22.5,0.9
BEEBE FAMILY,74,46,2,0,0,3,6.5,100,0,0,2.5,2.9,3,1.7,3.8,3.2,0.4,49.2,32.6,0.3,35,0.8,656430.91,14270.24,3,0.1,30.1,16.3,2.6,3.7,49.6,87.9,91.6,2.6,2.87,20.4,3.4,6.9,3.3,1.8,28.1,23.2,97.2,95.7,0,22.8,4.5,1,21.3,11.3,33.4,5.1
BENEDICTINE HEALTH SYSTEM,75,23,4,0,0,2,8.7,4.3,95.7,0,2.7,2.7,3.6,3,3.8,3.4,1,50.6,37,0.6,27,1.2,743905.67,32343.72,6,0.3,23.7,13.5,1.7,2.9,57.5,88.6,91.2,1.3,1.74,18,3.1,5.8,2.4,2,27.9,25.5,95.1,97.2,0,27,4.6,4.2,14.8,9.8,49.5,3.8
BENJAMIN LANDA,646,78,4,1,1,3,3.8,98.7,1.3,0,2.8,2.9,2.4,2.9,3.6,3.2,0.6,47.1,48.2,0.9,75,1,2422782.59,31061.32,1,0,26.4,13.9,2,3.1,44.9,88.3,87.7,2.11,2.12,12.8,3,6.7,1.7,0.9,19.9,14.8,97.7,96.2,0,20.6,6.4,14.9,23.8,10.6,30.2,5.5
BEST CARE SERVICES,583,10,3,0,1,0,0,100,0,0,2.1,2.2,2.4,2.5,3.4,3,0.5,43,48.7,1,25,2.5,1287966.84,128796.68,3,0.3,26.2,15.5,1.4,3.1,45.3,67.4,71.6,2.09,1.91,13.2,3,5,1.4,1.1,28.8,25.3,85.3,91.3,0,29.3,5.7,2.3,16.5,10.8,45.3,12
BETHESDA HEALTH,77,2,2,0,0,0,0,0,100,0,3.5,3.5,3.5,3,4.6,4.1,0.6,43.2,42.2,1,3,1.5,54089,27044.5,0,0,30.4,19,0.7,2.4,58.9,63.9,64.7,1.69,1.82,4.2,7.1,6.6,2.1,0.9,22.2,30.3,88.1,94.4,0,25,4.6,5.7,28.3,11,53.8,41
BGM ESTATE,78,15,1,0,1,1,6.7,100,0,0,2.1,2.2,2.3,2.6,3.3,3.1,0.3,53.6,44.4,0.8,19,1.3,846557.63,56437.18,6,0.4,28,14.1,1,3.8,48.8,73.8,78.9,2.75,3.01,15.4,4.4,5.9,3.2,2,22.1,19.2,94.8,92.6,0,12.1,4.7,2.5,25.1,12.1,33.4,7.7
BHI SENIOR LIVING,80,6,2,0,0,0,0,0,83.3,16.7,4.3,4.2,3.8,4.2,5.1,4.2,1.7,32.9,38.1,1,1,0.2,20826,3471,0,0,21.9,12,0.5,5.1,69.5,96.4,96.1,1.51,1.48,11.7,4.8,3.5,3,0.9,27.7,25.2,100,99.9,0,29,5.9,11.2,21.3,10.3,50,1.9
BIG ROCK SNF HOLDINGS,606,9,1,0,0,1,11.1,100,0,0,3,3,2.6,2.9,3.9,3.3,0.3,54.6,57.7,2.1,3,0.3,54506.85,6056.32,0,0,27.5,14.2,1.6,4,58.6,69.2,75.5,2.04,2.65,20.5,3.4,7.9,1,0.8,18,15.9,92.8,93.6,0,20.1,5.7,0.8,29.9,11.1,35.8,0.8
BIRCHWOOD,634,6,1,0,1,2,33.3,50,0,50,1.8,2,2.8,4,3.3,2.9,0.4,47.5,34.5,0.4,12,2,270812.69,45135.45,3,0.5,28.7,13.5,0.7,1,50.6,93.2,76.7,3.03,2.01,7.8,3.5,3.1,0,0.3,12.1,10.8,97.1,95.1,0.4,20.5,4.9,2,28.2,10.3,40.9,0.8
BLUE CENTRAL GROUP,83,3,2,0,1,1,33.3,100,0,0,1.3,1,1,4.3,3.1,2.8,0.3,67.8,86.4,1,10,3.3,375732.36,125244.12,3,1,24.8,7.5,2,0,57.1,66.5,64,3.08,1.69,12.8,2.3,6.3,0.8,0.8,5.3,5.6,95.4,92.2,0,13.6,10.9,20.9,14.4,12,15.3,0.6
BLUE RIDGE HEALTHCARE,84,2,2,0,1,0,0,100,0,0,1,1.5,1.5,1,3.4,3.4,0.4,78.3,58.9,0.5,3,1.5,388940.5,194470.25,0,0,36.9,25,8,1.3,23.4,64.3,75.2,2.4,2.09,23.2,2.3,10.5,2.3,2.8,23.8,23.5,90.8,94.8,0,9.4,6.5,6,42.9,11.2,22.2,1.6
BLUE SPRING HEALTHCARE PARTNERS,85,5,1,0,0,0,0,100,0,0,4.4,3.6,3,4.8,3.4,3.2,0.5,56.3,48.1,0.8,0,0,0,0,0,0,24.5,9.9,1.6,1.7,52.9,96.6,95.8,1.33,0.57,16.2,2.4,4.4,0,0.1,12.5,10.9,100,99.4,0,17.6,6.8,1.9,27.1,11.2,43.1,7.1
BONAMOUR HEALTH GROUP,576,5,1,0,1,0,0,100,0,0,1.6,1.4,2.8,2.6,3.7,3.3,0.9,,,2,10,2,345624.72,69124.94,1,0.2,19.4,14,2.9,5.6,53.3,66.3,70.9,1.74,2.42,17.5,2,10,0.8,1.7,31.5,24.3,93,88.8,0,27.2,7.2,3.5,25.1,11,36.6,0.5
BONCREST RESOURCE GROUP,86,5,4,0,0,0,0,40,60,0,2.8,2.6,3,3.4,4.1,3.7,0.8,62.6,65,0.8,5,1,53901.25,10780.25,1,0.2,23.7,8.7,0.6,1.7,53.7,82,67.9,2.02,1.22,16.7,6.1,6.3,1.2,1.3,33.5,29.3,93.1,87.2,0,31.1,6,2.4,14.4,10.6,27.5,3.9
BOOKER HOSPITAL DISTRICT,587,6,1,0,0,1,16.7,83.3,0,16.7,2.5,2.7,1.7,2.6,3,2.7,0.2,45.6,45.6,0.6,8,1.3,138933.18,23155.53,0,0,23.9,16.9,2,1.3,43.2,70.1,75.6,2.08,2.21,14.2,2.9,3.3,0.7,0.8,25.2,21.8,94.8,91.5,0,17.7,3,1.3,24.3,10.3,60.8,4.7
BRADFORD MONTGOMERY,87,11,2,0,0,0,0,100,0,0,2.1,2.5,2.2,2.5,3.7,3.4,0.3,57,,1.1,9,0.8,166649.23,15149.93,3,0.3,29.7,22.3,4.8,2.1,55.1,67.6,84.1,1.95,2.27,22.7,4.7,4.1,1.3,3.7,21.6,18.9,95.3,95,0,12.5,2.9,3.4,29,11,46.4,0.4
BRIA HEALTH SERVICES,88,15,1,0,2,10,66.7,100,0,0,1.1,1.5,1.1,2.8,3.5,3,0.5,59.5,66,1.3,79,5.3,4683854.47,312256.96,26,1.7,28.1,16,3.1,1.8,37.9,43,51.4,1.92,2.3,10.4,2.4,4.7,0.2,0.4,11.8,7.7,77.7,71.8,0,17.6,8.1,95.6,16.9,10.7,43.3,14.6
BRIAR HILL MANAGEMENT,89,6,1,0,0,0,0,100,0,0,2.3,2.8,4,1.5,4.1,3.5,0.7,54.1,52.8,0.7,6,1,103717.25,17286.21,0,0,32.2,21.8,1.4,3,58.7,97.1,93.3,3.29,3.55,21.8,3.8,7.3,1.4,1.8,26.3,22.4,99.6,98.1,0.1,26.9,7.2,0.7,21.3,10.5,29.4,1
BRICKYARD HEALTHCARE,90,23,1,0,0,5,21.7,91.3,4.3,4.3,2,2,1.9,3.1,3.4,3,0.6,47.8,45.5,0.3,13,0.6,287333.06,12492.74,1,0,24.5,13.7,2.7,2.8,53.1,61,68.2,1.83,1.56,15.3,3.4,5.8,0.5,0.4,22.2,16.6,89.6,87.8,0,26.9,6.3,25,27,10.8,33.6,0.5
BRIDGES HEALTH,91,31,1,0,0,0,0,96.8,3.2,0,3.5,3.4,3.1,3.1,3.6,3.3,0.4,51.9,50.7,0.5,11,0.4,150152.42,4843.63,1,0,28.2,20.2,1,3.4,48.4,90.1,94.1,2.17,2.96,9.8,3.9,6.6,1.5,0.5,15.6,9.2,97.7,99.2,0.2,18.7,2.2,0.7,23.3,10.5,40.7,1.2
BRIUS MANAGEMENT,92,36,1,0,1,7,19.4,100,0,0,2.3,2.2,2.5,3.7,4.1,3.7,0.4,41.6,50.6,0.5,52,1.4,1330049.75,36945.83,13,0.4,24,13.6,2.3,1.7,53.9,90.6,93.8,2.59,1.56,9.4,1.4,6.1,0.9,0.8,13.6,12.6,98.7,98.7,0,11.5,5.5,16.1,12.4,10.4,56.1,18.9
BROOKDALE SENIOR LIVING,93,14,10,0,0,2,14.3,100,0,0,2.9,2.6,3.8,3.9,4.5,4,1.2,46.1,39.2,0.7,17,1.2,716097.54,51149.82,3,0.2,25.6,12.2,1,3.3,52.6,86.8,89.5,1.93,1.34,9.6,4.3,7.5,2.9,1.1,24.2,16.4,88.4,97.4,0,27,9.1,1.4,14.8,10.4,31.1,3.9
BUCKNER RETIREMENT SERVICES,706,5,1,0,0,1,20,0,100,0,2.6,2.6,3.8,3.6,5.7,5.3,1,55,54.3,0.7,3,0.6,68425.5,13685.1,0,0,31.8,10.3,0.9,2.3,65.9,97,98.4,1.94,1.77,15.3,2.6,6.8,1.4,1.3,27.4,15,96,99.7,0,9.3,1,2.8,21.3,10.7,20.8,8.6
"BVHC, LLC",82,12,1,0,0,1,8.3,100,0,0,3.3,3,2.9,3.7,4.3,3.9,0.5,49.9,49.6,0.7,28,2.3,229150.82,19095.9,3,0.3,27.7,13.9,1.3,1,51.3,98.9,98.6,2.29,2.2,11.5,2.2,4.9,1.4,1.4,14.7,9.5,100,100,0.1,14.1,5.6,1.6,11.5,10,47.7,24.4
C. ROSS MANAGEMENT,95,10,2,1,1,0,0,100,0,0,1.9,2.3,1.6,2.4,3.4,3,0.3,49.9,69.2,0.7,14,1.4,343312.49,34331.25,1,0.1,25.9,16.3,3.3,4.3,59.5,68,68.8,2.46,3.59,24.5,4.5,4.5,3,2.1,36.3,29.1,93.3,84.3,0,16,7.1,11.2,28.6,13.5,31.5,1.7
CADIA HEALTHCARE,96,5,1,0,0,0,0,100,0,0,3.4,3.2,3.2,4.2,3.9,3.6,0.8,50.4,43.8,0.4,4,0.8,151963.5,30392.7,0,0,27.2,11.4,0.1,2.2,60.3,83.1,96.5,2.28,1.78,6.1,1.9,4.9,1.5,0.7,18.5,14.7,97.1,99.1,0,21,5.7,2.4,27.4,9.1,61.3,2.4
CALDERA CARE,97,17,3,0,2,4,23.5,100,0,0,2.3,1.9,2.6,3.9,4,3.5,0.6,54.9,58.2,1.1,38,2.2,1621293.95,95370.23,5,0.3,21.3,12.6,1.7,3.2,54.2,78,84.6,1.13,1.83,15.3,2.8,6,1.6,1.7,15.8,13.2,93.7,96.3,0.1,21.4,5.6,9.5,10.8,9.9,40.6,15.8
CAMBRIDGE HEALTHCARE SERVICES,98,33,1,1,1,7,21.2,100,0,0,2.4,2.2,2.9,3.7,4,3.6,0.4,39.5,41.1,0.5,37,1.1,1004063.49,30426.17,12,0.4,25.3,12.2,1.3,1.2,43,96.7,97.9,2.25,1.55,11.7,1.7,5,1.3,0.9,14.4,10.9,98.8,99.5,0,13.8,3.7,13.7,12.5,10.5,42.4,14.6
CAMPBELL STREET SERVICES,99,12,2,0,1,1,8.3,100,0,0,1.9,1.8,2.6,3.4,3.5,3.2,0.6,54.4,55.2,0.6,15,1.3,522298.85,43524.9,9,0.8,20.3,12.5,0.7,1.5,52.1,82.9,79.9,1.67,2.08,17.8,3.7,4.2,2.1,2.2,23.8,18.3,96.5,92.7,0.1,31.8,5.3,3.3,23,9.6,39.4,1.3
CANTEX CONTINUING CARE,100,35,2,0,0,4,11.4,91.4,0,8.6,3.2,2.9,2,4.4,3.3,2.9,0.4,48,46.5,0.8,54,1.5,1099415.67,31411.88,5,0.1,25.1,12.6,0.5,1.3,51.6,99,99.4,1.71,1.61,3.5,3.3,5.3,0.1,0.5,13.9,10.9,100,100,0,12.2,3.2,1.6,18.9,10.8,0.8,0.1
CANYON CREEK HEALTHCARE,101,16,1,0,2,2,12.5,100,0,0,2.9,2.9,2.3,3.6,3.1,2.7,0.5,47.8,46.3,0.7,35,2.2,931031.72,58189.48,2,0.1,25.4,20.7,1.1,2.1,56.7,87.8,90.1,1.61,3.19,9.7,2.6,5.6,0.1,0.8,19.2,14.1,99.7,99.4,0,21.8,5.8,0.5,12.8,11.4,46.9,10.1
CAPSTONE MANAGEMENT,102,9,2,0,0,0,0,100,0,0,2.7,2.7,3.4,2.3,4.2,3.6,0.7,52.2,51.6,0.3,8,0.9,226677.41,25186.38,2,0.2,27.6,12.5,3.2,4.3,51.1,81.9,82.1,2.08,1.97,15.3,2.6,6.4,1.5,2.4,26.8,21.1,89.2,94.4,0.2,23,6.5,6.3,23.2,10.3,44.3,2.5
CARADAY HEALTHCARE,103,21,1,0,0,6,28.6,61.9,0,38.1,2.5,2.5,1.9,3.8,3.3,3,0.4,54.4,51.2,0.5,40,1.9,1073816.16,51134.1,4,0.2,27.3,12.1,0.5,3.2,49.2,70.8,70.2,1.97,1.51,6.5,3.1,4.7,0.5,0.6,23.3,20.8,97.2,94.1,0,22.2,5.4,4.2,21.1,10.5,35.4,9.1
CARDON & ASSOCIATES,105,19,1,0,0,2,10.5,26.3,5.3,68.4,3.7,3.5,2.4,4.4,3.4,3,0.6,52.7,36.1,0.5,10,0.5,237981.25,12525.33,1,0.1,23.3,10.9,1.4,1.3,55.4,84,86,1.45,1.27,11.2,4.7,4.7,1.2,0.1,15,11.5,94.3,94.6,0,23.9,7.9,4.5,23.5,11.2,52.9,16.1
CARE & REHAB,673,6,2,0,0,0,0,100,0,0,3.8,3.7,4.2,2,4.1,3.7,0.9,40.4,39.9,0,1,0.2,7445.75,1240.96,1,0.2,24.6,25.4,0.3,7.9,58.2,85.9,88.2,1.62,4.18,15.7,4.2,5.9,2.6,4.2,30.7,23.4,98.3,98.3,0,26.9,3.8,1.8,10.3,10,42.8,11.4
CARE INITIATIVES,106,43,1,0,0,1,2.3,20.9,79.1,0,2.3,2.3,3.1,3.2,3.2,2.9,0.6,47.6,51,0.9,53,1.2,1982339.05,46100.91,16,0.4,20.9,14.9,2.1,2.4,49.1,79,90.5,1.27,2.05,22.6,3.4,3.7,1.8,2,22.6,17.1,94.7,97,0.1,27.1,4.6,3.9,23.1,10.2,41.7,2.7
CARE NETWORK,107,10,2,0,0,0,0,100,0,0,1.4,2,1.7,2.3,2.7,2.4,0.5,60.9,64.6,0.9,19,1.9,257311.04,25731.1,0,0,30.5,15.6,2.6,3.6,44.5,67.1,81.9,2.31,1.95,18.5,4.1,7,0.5,1.2,18.7,16.6,93,93.8,0,12.7,5.7,13.6,23.9,10.1,22,8
CARECORE HEALTH,108,11,1,0,0,0,0,100,0,0,1.8,1.9,1.7,3.5,3.6,3.2,0.4,60.9,44.3,0.5,9,0.8,226448.77,20586.25,7,0.6,29,17.8,1.1,4.1,41,68.9,71.2,1.78,1.43,15.5,2.8,4.6,0.6,0.4,16.9,12.1,86.4,89.6,0,19.2,6.9,34.9,25.3,11.4,7,0.2
CAREONE,109,37,4,0,0,0,0,100,0,0,3.5,3.1,3.2,4.3,3.8,3.4,0.7,31.4,34.4,1,27,0.7,703980.69,19026.51,2,0.1,25.9,9.4,1,2,58.2,76.4,77.6,1.64,1.05,17.5,2.9,7.4,0.9,1.4,19.9,15.5,93.5,88.8,0.1,22,5.7,10.3,18,11,31.8,12.9
CARERITE CENTERS,110,30,5,0,0,2,6.7,96.7,3.3,0,2.9,2.5,1.9,4.7,3.5,3.1,0.6,44.3,49.1,0.3,18,0.6,620219.78,20673.99,3,0.1,21,7.2,1,2.1,53.5,71.4,73.8,1.46,0.82,9.1,2.5,5.8,0.7,0.2,18.5,15.4,90.9,89.2,0,23.7,7.1,12.2,17.9,10.3,36.2,7.1
CARESPRING,111,15,2,0,0,0,0,100,0,0,4.2,3.9,2.3,4.3,4,3.4,0.7,54.3,37.5,0.8,4,0.3,50215,3347.67,1,0.1,25.5,12.8,0.9,1.8,47,94.3,99.7,1.83,1.74,8.3,3.6,3,0.1,0.4,8,4.8,97.1,99.9,0,27.8,6.9,29.1,22.2,11.1,33.9,1.9
CARING HEALTHCARE GROUP,113,12,1,0,0,1,8.3,41.7,0,58.3,2.9,2.8,2.7,3.7,3.7,3,0.4,48.7,51.6,0.1,15,1.3,404214.45,33684.54,0,0,28.1,14.8,0.8,1.1,54.1,91.3,99,2.27,1.92,3.8,1.7,2.1,0,1.1,19.5,19,98.7,99.7,0,6.2,3.9,6.3,18.9,11.2,24.1,7.6
CARING PLACE HEALTHCARE GROUP,114,5,1,0,0,0,0,100,0,0,4,3.6,2,4.6,3.6,3.3,0.4,48.4,33.2,0.6,2,0.4,25673.93,5134.79,0,0,31.4,14,0.9,0.3,67.3,85.1,89.6,1.26,1.56,8.8,1.9,0.8,0.5,0.1,15.1,8.7,95,94,0,27.9,6.5,41.3,25.5,11,34.1,
CARLYLE SENIOR CARE,599,8,1,0,0,0,0,100,0,0,2.5,3.1,2.3,1.8,3.6,3.1,0.4,51.3,55.5,0,4,0.5,50612.25,6326.53,0,0,31.4,22.1,3.1,5.7,44,79.7,86,2.68,3.11,18.6,2.9,7.2,3.4,2.1,19.5,19.3,97.2,98.9,0.1,15.5,5.9,2.6,19.8,11,23.7,0.3
CARMELITE SISTERS FOR THE AGED AND INFIRM,637,2,2,0,0,0,0,0,100,0,3,3,4,3,4,3.8,0.8,45.9,37.7,0.5,2,1,30195.75,15097.88,0,0,30.6,16,1.2,2.2,35.5,77.4,79.3,1.85,0.79,13,1.6,2.6,1.2,0.2,27.9,19.8,98,96.7,0,28.8,4,5.2,18.3,9,60.5,2.5
CARMELITE SISTERS FOR THE AGED AND INFIRMED,115,4,3,0,0,0,0,0,100,0,3.8,3.8,3.5,3.5,4.3,3.9,0.8,48,47.1,0.5,5,1.3,63352.08,15838.02,0,0,27,13.6,0.5,3.4,60.2,83.9,79.1,1.4,1.33,12.5,3.4,4.5,3.2,0.9,27,17.2,97,89.5,0,28.4,8.3,3.6,8.2,11.1,34.2,7.8
CARROLTON HEALTH,116,6,1,0,0,1,16.7,100,0,0,1.5,2,2.2,2.2,3.3,3,0.3,41.9,46.2,1,7,1.2,180834.77,30139.13,1,0.2,22.6,15.3,2.7,5.5,34.3,52.2,48.8,1.62,2.26,11.4,3.3,10.6,1.7,2.8,21.3,13.8,78.5,79.8,0,11.7,7.9,3,21.8,11.1,21,3.4
